"ngram","target","top","accuracy"
"giroux jaromir ","jagr","NA",NA
"are missing ","on","out",NA
"match over ","the","the","1"
"indefinitely rather ","than","than","1"
"climate menace ","to","NA",NA
"in 2008 ","has","the",NA
"— that ","they","the",NA
"only become ","free","a",NA
"200 beans ","to","and",NA
"said they ","had","are",NA
"who attend ","kindergartens","a",NA
"waterton canyon ","will","hoping",NA
"who has ","worked","been",NA
"so be ","it","a",NA
"buffalo creek ","and","the","2"
"requested at ","a","the","3"
"in the ","stlhighschoolsportscom","first",NA
"santorum the ","former","first",NA
"olpc i ","made","was",NA
"days a ","week","lot",NA
"back billy ","and","gibbons",NA
"be playing ","soon","in",NA
"down a ","single","lot",NA
"is no ","onesizefitsall","one",NA
"hours instead ","of","of","1"
"drink for ","your","the",NA
"after she ","won","was",NA
"was charged ","with","with","1"
"few words ","to","of","2"
"any progress ","on","on","1"
"schools were ","proficient","not",NA
"including failing ","to","to","1"
"of environmental ","protection","issues",NA
"said and ","three","the",NA
"case wu ","said","would",NA
"specialedition box ","of","office","3"
"by none ","other","of","2"
"commissioners from ","each","the",NA
"this particular ","extension","field",NA
"across the ","board","first",NA
"that are ","losing","you",NA
"before a ","packed","lot",NA
"that turn ","brown","the",NA
"special appeals ","judge","judge","1"
"are not ","distributed","a",NA
"mulling spices ","at","and",NA
"won the ","pulitzer","first",NA
"a professor ","of","of","1"
"needed to ","trigger","the",NA
"paid a ","70000","lot",NA
"a pretty ","unique","much",NA
"public health ","or","care",NA
"for anyone ","concerned","who",NA
"a temporary ","restraining","chair",NA
"full 21member ","roundtable","NA",NA
"father no ","bunch","one",NA
"will be ","closed","a",NA
"produce a ","solemn","lot",NA
"solo organ ","but","as",NA
"of the ","gods","first",NA
"helping gm ","continue","which",NA
"has already ","promised","have",NA
"like the ","chevrolet","first",NA
"arbor green ","dr","bay",NA
"to gain ","market","comes",NA
"vibrant but ","i","i","1"
"said gingrich ","is","drops",NA
"reduced demand ","also","for",NA
"to pay ","for","for","1"
"our identity ","read","and",NA
"already received ","a","a","1"
"i could ","send","be",NA
"until the ","recorded","first",NA
"most of ","mexicos","the",NA
"at first ","on","time",NA
"battle was ","the","a","2"
"and i’m ","still","not",NA
"unique surreal ","world","to",NA
"– marc ","included","klein",NA
"stunning array ","of","of","1"
"don johnson ","said","said","1"
"fits in ","with","the",NA
"beavers got ","on","to",NA
"predictive analytical ","powers","NA",NA
"reiterated that ","statement","the",NA
"ryan gorton ","and","NA",NA
"i look ","back","at",NA
"the chevrolet ","cruze","NA",NA
"said in ","a","the","2"
"flyers start ","brayden","the",NA
"could get ","this","a",NA
"at the ","end","first",NA
"all of ","the","the","1"
"this is ","what","a",NA
"i have ","had","a",NA
"let me ","know","to",NA
"look at ","the","the","1"
"i dont ","like","have",NA
"i decided ","to","to","1"
"of my ","friends","life",NA
"a great ","time","to","3"
"when i ","was","was","1"
"up with ","the","the","1"
"have been ","a","a","1"
"in order ","for","to","2"
"to come ","back","to","3"
"be on ","the","the","1"
"to see ","you","the","2"
"fact that ","its","the",NA
"in the ","back","first",NA
"in your ","life","own","2"
"it was ","hard","a",NA
"to give ","me","it",NA
"in the ","way","first",NA
"have so ","many","i","3"
"and want ","to","to","1"
"make up ","for","to",NA
"android software ","i","that",NA
"to use ","the","of","2"
"will always ","be","be","1"
"in the ","universe","first",NA
"you were ","a","not",NA
"i promise ","you","to","3"
"have a ","great","lot",NA
"not doing ","things","the",NA
"don’t know ","how","what",NA
"out of ","that","the",NA
"my life ","i","and","3"
"to feel ","like","like","1"
"said to ","his","the",NA
"used on ","the","the","1"
"i also ","used","a",NA
"over the ","knee","first",NA
"this would ","be","be","1"
"the history ","of","of","1"
"but none ","of","of","1"
"in these ","areas","are",NA
"that he ","has","was",NA
"wouldnt want ","to","to","1"
"that was ","on","a",NA
"for up ","to","to","1"
"trying to ","catch","the",NA
"have the ","space","first",NA
"are you ","going","can",NA
"i think ","my","i",NA
"that’s not ","to","a","2"
"he has ","said","been",NA
"is what ","makes","i",NA
"when it ","is","was","2"
"is trying ","to","to","1"
"the beauty ","of","of","1"
"and his ","ilk","own",NA
"amount of ","money","the",NA
"the world ","i","and",NA
"to the ","point","first",NA
"i like ","to","a","2"
"down the ","road","first",NA
"over in ","the","the","1"
"and to ","be","the","2"
"of it ","the","was",NA
"out there ","and","are",NA
"i had ","heard","a",NA
"at one ","point","of",NA
"are you ","doing","can",NA
"new york ","state","city",NA
"one has ","ever","been",NA
"body and ","in","the",NA
"as well ","the","as",NA
"the public ","and","safety","2"
"much of ","the","the","1"
"it is ","an","a",NA
"for those ","of","who","2"
"for a ","full","lot",NA
"so he ","could","was",NA
"there for ","a","the","2"
"become a ","better","lot",NA
"on the ","way","first",NA
"them from ","the","the","1"
"but it ","is","was","2"
"you need ","is","to",NA
"too many ","people","of","2"
"there are ","2","you",NA
"a state ","of","of","1"
"had been ","a","a","1"
"and we ","have","are","2"
"we see ","that","the",NA
"of the ","long","first",NA
"the moment ","but","when",NA
