"ngram","target","top","accuracy"
"her ","ear","to",NA
"of ","others","the",NA
"were ","so","not",NA
"getting ","the","a","2"
"in ","australia","the",NA
"this ","set","is",NA
"sure ","it","to",NA
"home ","in","and","2"
"ago ","i","the","2"
"will ","make","be",NA
"go ","out","to","3"
"minutes ","of","to","2"
"makes ","it","me","2"
"off ","in","the",NA
"only ","a","one","2"
"oh ","and","well","3"
"and ","has","the",NA
"choice ","is","of",NA
"that ","most","the",NA
"can ","take","be",NA
"was ","all","a",NA
"you ","what","can",NA
"live ","with","in",NA
"rear ","wing","of",NA
"more ","like","than",NA
"point ","where","of",NA
"went ","on","to","2"
"room ","for","for","1"
"a ","place","lot",NA
"hoping ","to","to","1"
"book ","of","is",NA
"have ","that","a",NA
"there ","you","are",NA
"stretch ","of","of","1"
"beginning ","of","of","1"
"los ","angeles","angeles","1"
"he ","and","was",NA
"it ","too","was",NA
"is ","often","a",NA
"likely ","to","to","1"
"including ","a","the","2"
"having ","my","a",NA
"the ","problem","first",NA
"it ","over","was",NA
"oven ","to","to","1"
"might ","also","be",NA
"the ","cost","first",NA
"mind ","is","that",NA
"from ","you","the",NA
"seeing ","a","the","3"
"do ","everything","you",NA
"a ","direct","lot",NA
"comes ","a","to",NA
"some ","reason","of",NA
"always ","the","be",NA
"and ","over","the",NA
"main ","reason","gate",NA
"of ","california","the",NA
"he ","may","was",NA
"of ","god","the",NA
"aspects ","of","of","1"
"many ","different","of",NA
"posting ","a","on","2"
"mean ","i","i","1"
"embossing ","powder","powder","1"
"know ","its","what",NA
"it wasn’","t","NA",NA
"your ","phone","own",NA
"make ","your","a",NA
"book ","about","is",NA
"all ","he","the",NA
"done ","for","and",NA
"him ","the","to","3"
"who ","find","is",NA
"protein ","this","070",NA
"accounting ","for","at",NA
"way ","more","to",NA
"the ","body","first",NA
"president ","and","of",NA
"himself ","in","as",NA
"the ","brain","first",NA
"my ","boyfriend","life",NA
"meant ","to","to","1"
"having ","fun","a",NA
"house ","on","and",NA
"she ","may","was",NA
"other ","executive","than",NA
"glass ","of","of","1"
"the ","type","first",NA
"contain ","the","about","3"
"a ","pint","lot",NA
"the ","capitalist","first",NA
"mad ","scientist","at",NA
"it ","came","was",NA
"the ","hallway","first",NA
"in ","1976","the",NA
"only ","to","one","3"
"i ","bet","was",NA
"the ","sale","first",NA
"surface ","creek","remains",NA
"brand ","new","new","1"
"selection ","of","of","1"
"their ","identity","own",NA
"however ","it","the",NA
"them ","are","to",NA
"be ","applied","a",NA
"says ","i","the",NA
"still ","with","in",NA
"political ","and","account",NA
"hands ","and","of",NA
"by ","their","the",NA
"the ","dollar","first",NA
"promise ","you","to","3"
"night ","and","and","1"
"people ","out","who",NA
"i ","only","was",NA
"of ","beer","the",NA
"being ","busy","a",NA
"a ","female","lot",NA
"was ","probably","a",NA
"possible ","objects","to",NA
"times ","when","in",NA
"get ","more","a",NA
"the ","provision","first",NA
"didn’t ","mind","have",NA
"sweet ","and","and","1"
"discussion ","on","that","3"
"from ","them","the",NA
"hope ","they","you",NA
"forget ","that","to",NA
"and ","sea","the",NA
"not ","need","a",NA
"the ","race","first",NA
"he ","feels","was",NA
"horse ","a","tracks",NA
"just ","take","a",NA
"to ","embrace","the",NA
"sounds ","and","like",NA
"tour ","of","in","2"
"head ","i","of",NA
"of ","television","the",NA
"number ","to","of",NA
"up ","until","to",NA
"dm ","me","me","1"
"in ","public","the",NA
"the ","light","first",NA
"of ","humanity","the",NA
"each ","one","other",NA
"you ","people","can",NA
"a ","slightly","lot",NA
"a ","suitable","lot",NA
"every ","minute","time",NA
"your ","full","own",NA
"her ","room","to",NA
"in ","practice","the",NA
"want ","us","to",NA
"by ","an","the","3"
"and ","like","the",NA
"finished ","a","the",NA
"the ","link","first",NA
"very ","nice","much",NA
"away ","i","from",NA
"and ","hang","the",NA
"was ","amazing","a",NA
"your ","face","own",NA
"did ","an","not",NA
"i ","forgot","was",NA
"exposed ","the","to",NA
"just ","hang","a",NA
"once ","upon","again",NA
"upon ","a","the","3"
"the ","sounds","first",NA
"a ","more","lot",NA
"the ","photos","first",NA
"while ","this","the",NA
"for ","chinese","the",NA
"show ","that","you","2"
"a ","sentence","lot",NA
"again ","we","and",NA
"you ","please","can",NA
"that doesn’","t","NA",NA
"and ","leave","the",NA
"the ","majority","first",NA
"he ","says","was",NA
"a ","smile","lot",NA
"do ","is","you",NA
"all ","wrong","the",NA
"next ","thing","week",NA
"last ","few","year",NA
"have ","much","a",NA
"the ","batter","first",NA
"to ","anything","the",NA
"just ","had","a",NA
"the wo","world�","NA",NA
"out ","lol","of",NA
"side ","he","of",NA
"impossible ","to","to","1"
"reason ","to","for","3"
"that ","do","the",NA
"the ","republicans","first",NA
"other ","areas","than",NA
"already ","been","have",NA
