"ngram","target","top","accuracy"
"tainted food sickens ","hundreds","NA",NA
"at any specialty ","food","stores",NA
"weigh your romance ","which","and",NA
"in october and ","november","the",NA
"science at mississippi ","state","river",NA
"odds thats a ","false","lot",NA
"is and if ","it","you",NA
"they are in ","the","the","1"
"request calling it ","premature","was",NA
"small evergreen called ","theobroma","the",NA
"that some people ","named","who",NA
"they should be ","living","a",NA
"words to alfaro ","until","NA",NA
"200 beans to ","make","the",NA
"county commissioners has ","been","been","1"
"at new school ","for","year",NA
"on the ice ","to","cream",NA
"was fined 3000 ","for","and",NA
"everyone – marc ","included","klein",NA
"was hired in ","october","the",NA
"the tying run ","was","by",NA
"gooey pulp protecting ","25","it",NA
"is getting this ","particular","is",NA
"exactly when it ","did","was",NA
"final two games ","2516","and",NA
"street to cleveland ","street","is",NA
"said but across ","the","the","1"
"year listed if ","they","you",NA
"of us would ","have","be","2"
"gingrich who campaigned ","in","relentlessly",NA
"identification at the ","gate","first",NA
"east brunswick where ","students","i",NA
"the ice to ","start","the",NA
"through the top ","bottom","of",NA
"isnt being used ","to","to","1"
"in tempe where ","a","i",NA
"3000 for a ","slew","lot",NA
"in less than ","two","a",NA
"in obstacle course ","mud","i",NA
"demolition equipment to ","be","the","2"
"find a way ","to","to","1"
"gm continue to ","gain","the",NA
"events the track ","recently","record",NA
"agents after the ","year","first",NA
"rundown between second ","and","time","2"
"to the minors ","could","and",NA
"out to left ","to","in","3"
"the year listed ","a","as",NA
"or sides of ","your","the",NA
"a funded project ","when","is",NA
"the lists chances ","for","of",NA
"was recorded for ","posterity","the",NA
"compete nationwide in ","obstacle","the",NA
"was stranded at ","first","the",NA
"my dichondra it ","showed","was",NA
"for the big ","game","12",NA
"armisen carrie brownstein ","bill","NA",NA
"other than tipping ","point","opinion",NA
"about the 30000 ","college","NA",NA
"pay for 12 ","credit","hours",NA
"evelyn ogden said ","the","the","1"
"to weigh your ","romance","own",NA
"subject of its ","second","a",NA
"comment in a ","dozen","lot",NA
"bunch corrected rackner ","who","NA",NA
"students was a ","major","lot",NA
"gain closer access ","he","to",NA
"carle and kimmo ","timonen","NA",NA
"parise out on ","the","the","1"
"and john tommasini ","the","NA",NA
"school curriculum the ","doodle","first",NA
"proximity about five ","hours","years",NA
"fourtime champion didnt ","look","have",NA
"as on a ","specialedition","lot",NA
"which there is ","no","a",NA
"but not the ","2","first",NA
"thrombosis and pulmonary ","embolism","lung",NA
"qualified the town ","for","and",NA
"the no 6 ","team","pm",NA
"was so mad ","that","at",NA
"power plants there ","was","are","3"
"have steadily progressed ","in","oklahoma",NA
"sound all their ","own","own","1"
"trail blazers forward ","said","to",NA
"several durufle curios ","for","NA",NA
"of serving so ","close","i",NA
"lose our identity ","read","and",NA
"technology into other ","devices","than",NA
"2 quarts of ","cider","the",NA
"brunswick where students ","have","to",NA
"home values dropped ","and","a",NA
"the bandwagon in ","december","the",NA
"avoided doing so ","because","i",NA
"or sat on ","her","the",NA
"you i love ","you","you","1"
"have to admit ","that","that","1"
"in the middle ","of","of","1"
"juma will be ","killed","a",NA
"of the alternative ","scene","energy",NA
"say this as ","though","a",NA
"that there are ","so","you",NA
"the space and ","time","the",NA
"one of the ","greatest","first",NA
"for a while ","now","the",NA
"the bed and ","the","the","1"
"i had no ","idea","one",NA
"for a pair ","of","of","1"
